sample_id,raw_index,true_cte_idx,true_he_idx,true_cte,true_he,cte0,cte1,cte2,cte3,cte4,he0,he1,he2
0,1242,1,0,-1,-1,1,1,1,1,1,1,1,0
1,4886,0,1,-2,0,1,0,0,0,0,0,1,1
2,767,4,0,2,-1,0,0,0,0,1,1,1,1
3,1470,4,2,2,1,0,0,0,1,1,0,0,1
4,3401,4,0,2,-1,0,0,0,1,1,1,0,0
5,3854,0,2,-2,1,1,0,0,0,0,0,0,1
6,1718,0,1,-2,0,1,0,0,0,0,0,1,0
7,494,4,2,2,1,0,0,0,1,1,0,0,1
8,1049,1,2,-1,1,1,1,0,0,0,0,0,1
9,1300,0,0,-2,-1,1,1,0,1,1,1,1,0
10,5250,3,0,1,-1,0,0,0,1,1,1,0,0
11,1450,3,1,1,0,0,0,0,1,0,1,1,1
12,3587,4,2,2,1,0,0,0,0,1,1,1,1
13,4148,4,0,2,-1,0,0,0,1,1,1,0,0
14,3073,0,0,-2,-1,1,1,0,1,1,1,1,0
15,4012,3,0,1,-1,0,0,0,1,0,1,0,0
16,3171,1,0,-1,-1,1,1,1,1,1,1,1,0
17,4341,0,2,-2,1,1,0,0,0,0,0,0,1
18,2826,4,1,2,0,1,0,0,1,1,1,1,1
19,943,4,2,2,1,0,0,0,0,1,0,1,1
20,4327,4,1,2,0,1,0,0,0,1,1,1,1
21,3120,0,0,-2,-1,1,1,0,1,1,1,1,0
22,2221,4,2,2,1,0,0,0,1,1,0,0,1
23,3804,1,0,-1,-1,0,1,1,0,1,1,0,0
24,1324,1,1,-1,0,1,1,0,0,0,0,1,1
25,5418,0,0,-2,-1,1,1,0,1,1,1,1,0
26,3243,3,2,1,1,0,0,0,1,1,0,1,1
27,4124,0,0,-2,-1,1,1,0,1,1,1,1,0
28,1087,4,2,2,1,0,0,0,0,1,0,0,1
29,4304,1,2,-1,1,1,1,1,0,0,0,1,1
30,4847,1,2,-1,1,1,1,0,0,0,0,0,1
31,3669,4,0,2,-1,0,0,0,1,1,1,0,0
32,2066,1,1,-1,0,1,1,0,0,0,0,1,1
33,3110,2,2,0,1,1,1,1,1,0,1,1,1
34,1895,1,1,-1,0,1,1,0,0,0,1,1,1
35,4699,3,2,1,1,0,0,1,1,0,0,1,1
36,2217,1,2,-1,1,1,1,1,0,0,0,1,1
37,2566,4,1,2,0,1,0,0,0,1,1,1,1
38,1165,3,2,1,1,0,0,1,1,0,1,1,1
39,4666,1,1,-1,0,1,1,1,0,0,1,1,1
40,535,2,0,0,-1,0,0,1,1,0,1,0,0
41,5313,3,0,1,-1,0,0,0,1,0,1,0,0
42,3597,1,0,-1,-1,1,1,1,1,1,1,1,0
43,1940,0,1,-2,0,1,0,0,0,0,0,1,1
44,3279,0,2,-2,1,1,0,0,0,0,0,0,1
45,521,0,1,-2,0,1,0,0,0,0,0,1,1
46,787,1,2,-1,1,1,1,0,0,0,0,0,1
47,2701,1,1,-1,0,1,1,0,0,0,0,1,1
48,3149,4,2,2,1,0,0,0,1,1,0,0,1
49,4015,0,2,-2,1,1,0,0,0,0,0,0,1
50,472,2,2,0,1,0,0,1,1,0,1,1,1
51,4031,4,1,2,0,0,0,0,1,1,1,1,0
52,311,1,2,-1,1,1,1,0,0,0,0,1,1
53,2623,3,2,1,1,0,0,0,1,1,1,1,1
54,2170,0,2,-2,1,1,0,0,0,0,0,0,1
55,1451,2,2,0,1,0,1,1,1,1,0,1,1
56,1449,0,2,-2,1,1,0,0,0,0,0,0,1
57,11,4,2,2,1,0,0,0,1,1,0,1,1
58,2182,2,2,0,1,0,0,1,1,0,1,1,1
59,5281,3,1,1,0,0,0,0,1,0,1,1,1
60,3743,4,2,2,1,0,0,0,0,1,0,0,1
61,5305,1,0,-1,-1,1,1,1,0,1,1,0,0
62,2320,0,1,-2,0,1,0,0,0,0,0,1,1
63,4754,0,0,-2,-1,1,1,0,1,1,1,1,0
64,2594,0,2,-2,1,1,1,0,0,0,0,1,1
65,1534,4,2,2,1,0,0,0,0,1,0,0,1
66,3399,4,0,2,-1,0,0,0,0,1,1,0,0
67,5155,1,1,-1,0,1,1,1,0,0,1,1,1
68,2744,2,0,0,-1,0,0,1,1,0,1,0,0
69,534,0,2,-2,1,1,0,0,0,0,0,0,1
70,3955,2,2,0,1,1,1,1,1,1,1,1,1
71,1949,2,0,0,-1,0,1,1,1,0,1,0,0
72,4056,2,2,0,1,1,1,1,1,0,0,1,1
73,2779,3,0,1,-1,0,0,0,1,1,1,0,0
74,4473,4,2,2,1,0,0,0,1,1,1,1,1
75,2495,4,2,2,1,0,0,0,0,1,0,0,1
76,5472,2,2,0,1,0,0,1,1,0,0,1,1
77,1882,0,1,-2,0,1,1,0,0,0,1,1,0
78,4975,0,0,-2,-1,1,1,0,1,1,1,1,0
79,4389,3,0,1,-1,0,0,0,1,0,1,1,0
80,4319,2,0,0,-1,0,1,1,1,0,1,0,0
81,4684,4,0,2,-1,0,0,0,1,1,1,0,0
82,1973,2,0,0,-1,0,1,1,1,0,1,0,0
83,14,0,0,-2,-1,1,1,0,1,1,1,1,0
84,3194,1,0,-1,-1,1,1,1,0,0,1,1,0
85,3119,2,2,0,1,0,1,1,1,0,1,1,1
86,3965,3,0,1,-1,0,0,0,1,0,1,0,0
87,4067,4,2,2,1,0,0,0,0,1,0,0,1
88,2151,2,2,0,1,0,1,1,1,1,0,1,1
89,585,4,0,2,-1,0,0,0,0,1,1,0,0
90,807,0,2,-2,1,1,0,0,0,0,0,0,1
91,1834,4,0,2,-1,0,0,0,1,1,1,0,0
92,894,1,2,-1,1,1,1,0,0,0,0,1,1
