sample_id,raw_index,true_cte_idx,true_cte,pred_cte_idx,pred_cte,cte0,cte1,cte2,cte3,cte4
0,1242,1,-1,0,-2,1,1,0,0,1
1,4886,0,-2,0,-2,1,0,0,0,0
2,767,4,2,4,2,0,0,0,0,1
3,1470,4,2,4,2,0,0,0,1,1
4,3401,4,2,4,2,0,0,0,1,1
5,3854,0,-2,0,-2,1,0,0,0,0
6,1718,0,-2,0,-2,1,0,0,0,0
7,494,4,2,4,2,0,0,0,1,1
8,1049,1,-1,0,-2,1,1,0,0,0
9,1300,0,-2,0,-2,1,1,0,1,1
10,5250,3,1,3,1,0,0,0,1,0
11,1450,3,1,3,1,0,0,0,1,0
12,3587,4,2,4,2,0,0,0,0,1
13,4148,4,2,3,1,0,0,0,1,1
14,3073,0,-2,0,-2,1,0,0,0,0
15,4012,3,1,3,1,0,0,0,1,0
16,3171,1,-1,1,-1,1,1,0,0,1
17,4341,0,-2,0,-2,1,0,0,0,0
18,2826,4,2,4,2,1,0,0,1,1
19,943,4,2,4,2,0,0,0,0,1
20,4327,4,2,4,2,0,0,0,0,1
21,3120,0,-2,0,-2,1,0,0,0,0
22,2221,4,2,4,2,0,0,0,1,1
23,3804,1,-1,1,-1,0,1,1,0,0
24,1324,1,-1,1,-1,1,1,0,0,0
25,5418,0,-2,0,-2,1,1,0,0,0
26,3243,3,1,3,1,0,0,0,1,1
27,4124,0,-2,0,-2,1,1,0,1,1
28,1087,4,2,4,2,0,0,0,0,1
29,4304,1,-1,1,-1,1,1,0,0,0
30,4847,1,-1,1,-1,1,1,0,0,0
31,3669,4,2,4,2,0,0,0,0,1
32,2066,1,-1,1,-1,1,1,0,0,0
33,3110,2,0,2,0,0,1,1,1,0
34,1895,1,-1,0,-2,1,1,0,0,0
35,4699,3,1,3,1,0,0,1,1,0
36,2217,1,-1,1,-1,0,1,1,0,0
37,2566,4,2,4,2,0,0,0,0,1
38,1165,3,1,3,1,0,0,1,1,0
39,4666,1,-1,1,-1,1,1,0,0,0
40,535,2,0,2,0,0,0,1,1,0
41,5313,3,1,3,1,0,0,0,1,0
42,3597,1,-1,0,-2,1,1,0,1,1
43,1940,0,-2,0,-2,1,0,0,0,0
44,3279,0,-2,0,-2,1,0,0,0,0
45,521,0,-2,0,-2,1,0,0,0,0
46,787,1,-1,1,-1,1,1,0,0,0
47,2701,1,-1,0,-2,1,1,0,0,0
48,3149,4,2,4,2,0,0,0,1,1
49,4015,0,-2,0,-2,1,0,0,0,0
50,472,2,0,3,1,0,0,1,1,0
51,4031,4,2,3,1,0,0,0,1,1
52,311,1,-1,1,-1,1,1,0,0,0
53,2623,3,1,3,1,0,0,0,1,1
