sample_id,raw_index,true_cte_idx,true_he_idx,true_cte,true_he,pred_cte_idx,pred_he_idx,pred_cte,pred_he,cte_logit_0,cte_logit_1,cte_logit_2,cte_logit_3,cte_logit_4,he_logit_0,he_logit_1,he_logit_2,cte_prob_0,cte_prob_1,cte_prob_2,cte_prob_3,cte_prob_4,he_prob_0,he_prob_1,he_prob_2,correct_cte,correct_he
0,1242,1,0,-1,-1,0,0,-2,-1,1.8929589986801147,1.030968427658081,-1.9041354656219482,-1.3315051794052124,-0.8177807927131653,2.3214638233184814,-0.38265156745910645,-2.1165809631347656,0.6447365283966064,0.272285521030426,0.014465223997831345,0.025645742192864418,0.04286698251962662,0.9270001649856567,0.06204366311430931,0.010956239886581898,0,1
1,4886,0,1,-2,0,0,1,-2,0,5.615028381347656,-0.7170074582099915,-3.0959596633911133,-1.0147144794464111,-3.133545398712158,-2.6293303966522217,2.954449415206909,0.6031933426856995,0.9965894222259521,0.0017723438795655966,0.0001642034185351804,0.001315999310463667,0.0001581463438924402,0.0034197510685771704,0.9099116921424866,0.08666858077049255,1,1
2,767,4,0,2,-1,4,1,2,0,-0.8900981545448303,-2.3198094367980957,-3.812145471572876,-0.5407911539077759,3.8774476051330566,1.0389909744262695,1.1311075687408447,-1.6687339544296265,0.008309686556458473,0.001989156473428011,0.0004472553264349699,0.011783838272094727,0.9774700403213501,0.4622821509838104,0.5068889856338501,0.030828839167952538,1,0
3,1470,4,2,2,1,4,2,2,1,-2.6166064739227295,-4.851966381072998,-2.707937717437744,2.221695899963379,3.6738176345825195,-2.355170965194702,-1.6538395881652832,4.383134365081787,0.0014977757818996906,0.0001601926633156836,0.001367043238133192,0.1891014724969864,0.807873547077179,0.001180435181595385,0.002380270743742585,0.9964392781257629,1,1
4,3401,4,0,2,-1,4,0,2,-1,-3.1294054985046387,-4.4615912437438965,-3.9264206886291504,2.932171583175659,4.013431549072266,3.210952043533325,-0.9970558881759644,-2.1274495124816895,0.0005896997172385454,0.00015562157204840332,0.0002657612203620374,0.2530115842819214,0.7459773421287537,0.9807002544403076,0.014588871970772743,0.004710834473371506,1,1
5,3854,0,2,-2,1,0,2,-2,1,6.039825916290283,-0.729821503162384,-3.17022705078125,-1.2225080728530884,-3.180589199066162,-7.406030654907227,0.4003625214099884,8.2068452835083,0.9979556798934937,0.0011457521468400955,9.982429764932021e-05,0.0007000350160524249,9.879520075628534e-05,1.6566750105084793e-07,0.00040692166658118367,0.9995929598808289,1,1
6,1718,0,1,-2,0,0,1,-2,0,4.66105318069458,0.31082379817962646,-2.975306987762451,-1.3863801956176758,-2.6071667671203613,-1.3559983968734741,2.9130938053131104,-1.0711236000061035,0.9838184714317322,0.012695049867033958,0.0004747728817164898,0.002325669629499316,0.0006860679714009166,0.013552647083997726,0.968427836894989,0.0180195365101099,1,1
7,494,4,2,2,1,4,2,2,1,-2.510528326034546,-4.8899455070495605,-3.199221134185791,1.359835147857666,4.456900596618652,-2.5011470317840576,-1.736785888671875,4.63506555557251,0.0009000535937957466,8.33490994409658e-05,0.00045203595072962344,0.04316641017794609,0.9553981423377991,0.0007937722839415073,0.001704722293652594,0.99750155210495,1,1
8,1049,1,2,-1,1,0,2,-2,1,3.0711886882781982,1.6214309930801392,-2.2795450687408447,-1.9043525457382202,-2.397017478942871,-5.272005081176758,0.22383421659469604,6.3309502601623535,0.7996830344200134,0.18762733042240143,0.0037942309863865376,0.005521636921912432,0.003373696468770504,9.118652997130994e-06,0.002221995033323765,0.9977688789367676,0,1
9,1300,0,0,-2,-1,0,0,-2,-1,2.4066123962402344,0.024138759821653366,-2.4057095050811768,-0.861238956451416,-0.9353635907173157,2.8856723308563232,-0.551916241645813,-2.503767490386963,0.8518568873405457,0.07864505797624588,0.006924714893102646,0.03244567662477493,0.030127625912427902,0.9645931124687195,0.0310040432959795,0.0044029150158166885,1,1
